t_ms,rpm,cons
0,56.92,60.0
20,59.29,60.0
40,59.29,60.0
60,61.98,60.0
80,59.29,60.0
100,56.92,60.0
120,59.29,60.0
140,59.29,60.0
160,59.29,60.0
180,56.92,60.0
200,59.29,60.0
220,61.98,60.0
240,59.29,60.0
260,56.92,60.0
280,59.29,60.0
300,59.29,60.0
320,59.29,60.0
340,56.92,60.0
360,59.29,60.0
380,61.98,60.0
400,59.29,60.0
420,56.92,60.0
440,59.29,60.0
460,59.29,60.0
480,59.29,60.0
500,59.29,60.0
520,59.29,60.0
540,59.29,60.0
560,61.98,60.0
580,56.92,60.0
600,59.29,60.0
620,59.29,60.0
640,59.29,60.0
660,59.29,60.0
680,56.92,60.0
700,59.29,60.0
720,64.46,60.0
740,56.92,60.0
760,59.29,60.0
780,59.29,60.0
800,56.92,60.0
820,59.29,60.0
840,61.66,60.0
860,56.92,60.0
880,61.98,60.0
900,59.29,60.0
920,59.29,60.0
940,56.92,60.0
960,59.29,60.0
980,59.29,60.0
1000,59.29,60.0
1020,59.29,60.0
1040,59.29,60.0
1060,61.98,60.0
1080,56.92,60.0
1100,59.29,60.0
1120,59.29,60.0
1140,59.29,60.0
